poi_type;poi_cat;poi_name;lat;long
Retail;Shopping Mall;Yew Tee Point;1.397052;103.74666
Commercial;Commercial Building;Bank of China;1.285771;103.852226
Retail;Shopping Mall;Courts Orchard;1.3018524385;103.83848105
Recreational;Hotel;Carlton Hotel;1.2956995;103.8530075
Commercial;Commercial Building;Centennial Tower;1.293503;103.86027
Defence;Police/Fire Department;Tanglin Police Divisional Headquarters;1.3119116;103.8464262
Industrial;Industrial Building/Estate;Becton Dickinson;1.32655325;103.6576475
Government;Government Building;Singapore Water Association;1.334452;103.757692
Industrial;Industrial Building/Estate;Alcon Singapore Manufacturing;1.276031;103.622422
Retail;Shopping Mall;Pasir Ris West Plaza;1.379276;103.93599
Travel;Land;King Albert Park MRT;1.3355632;103.7835714
Commercial;Commercial Building;Wilkie Edge;1.302123;103.849514
Commercial;Commercial Building;One Raffles Place;1.28436930938462;103.851049723077
Retail;Shopping Mall;The Odean Katong;1.304637;103.901901
Recreational;Hotel;CAPRI by FRASER;1.334147;103.96368
Healthcare;Hospital;Singapore General Hospital - The Academia;1.281868;103.835688
Commercial;Commercial Building;Microsoft Woodlands;1.452078;103.801672333333
Travel;Land;Bugis MRT;1.30037575;103.856144
Residential;Condominium;Terrasse Condominium;1.36927766666667;103.87832
Industrial;Industrial Building/Estate;YS-One;1.43823933333333;103.841152666667
Commercial;Commercial Building;Hewlett Packard 2;1.282984;103.808066
Education;University;NUS University Cultural Centre;1.3017364;103.772029
Retail;Shopping Mall;Rochor Centre;1.302003;103.855013
Recreational;Hotel;York Hotel;1.30701;103.835317
Commercial;Commercial Building;Singpost Regional Ecommerce Logistics Hub;1.371137;103.910148
Commercial;Exhibition;Marina Bay Sands Expo & Convention Centre;1.28294793636364;103.858690536364
Industrial;Industrial Building/Estate;Marquis Q Square;1.337043;103.88848
Retail;Shopping Mall;Marina Square;1.2922694586;103.85797048
Commercial;Commercial Building;Equinix IBX Data Center;1.30980183333333;103.815786666667
Commercial;Commercial Building;North Spring Bizhub;1.438170375;103.843190375
Commercial;Commercial Building;The Octagon;1.280547;103.849202
Industrial;Industrial Building/Estate;UB.One;1.333457;103.891752
Travel;Land;Punggol MRT;1.404662;103.90213
Commercial;Commercial Building;Ascent Solutions;1.291525;103.784469333333
Education;University;Singapore University of Technology and Design;1.34085771428571;103.963471
Retail;Shopping Mall;Raffles City Tower;1.293881;103.853099
Retail;Shopping Mall;Marina Bay Link Mall;1.279704;103.854323
Retail;Shopping Mall;Giant Tampines;1.372194;103.932043
Commercial;Commercial Building;Golden Wall Centre;1.303919;103.851448
Recreational;Hotel;M Social;1.29083;103.837279
Retail;Shopping Mall;Tampines Mall;1.35257466666667;103.944693142857
Commercial;Commercial Building;Nordic European Centre;1.327316;103.748442
Commercial;Commercial Building;Tower Fifteen;1.273786;103.842148
Retail;Shopping Mall;Forum Shopping Mall;1.306048;103.828705
Commercial;Commercial Building;Atrium @ Orchard;1.299566;103.845263
Retail;Shopping Mall;Shaw Centre;1.3061211408;103.83195736
Commercial;Commercial Building;Manulife Centre;1.29780592;103.8502348
Travel;Land;Changi Airport MRT;1.35733;103.988413
Travel;Land;Woodlands Checkpoint;1.445586;103.769005
Travel;Land;Ubi MRT;1.32999;103.89974
Recreational;Country Club;Bukit Timah Turf Club;1.33833725;103.793387875
Recreational;Hotel;Mandarin Oriental Singapore;1.290101;103.858459
Commercial;Commercial Building;Fusionopolis Innovis;1.299189;103.787006
Travel;Land;Stevens MRT;1.320072;103.825919
Retail;Shopping Mall;Fortune Centre;1.300431;103.852277
Commercial;Commercial Building;CWT Distribution Ltd;1.317263;103.718988
Commercial;Commercial Building;UE Bizhub Central;1.390129;103.845984
Travel;Land;One-North MRT;1.299765;103.787432
Retail;Shopping Mall;I12 Katong;1.305093;103.905071
Travel;Tunnel;KPE Ventilator Building C;1.320483;103.877199
Education;University;INSEAD;1.29979533333333;103.786484666667
Retail;Shopping Mall;Star Vista;1.30687211111111;103.788448444444
Travel;Land;Hougang MRT;1.371167;103.892393
Travel;Land;Bukit Panjang MRT;1.378904;103.761476
Retail;Shopping Mall;Joo Chiat Shopping Complex;1.315541;103.899034
Government;Government Building;Sport Singapore;1.303922;103.875438
Commercial;Commercial Building;CIAS Cargo Centre;1.372466;103.99635
Commercial;Commercial Building;New Tech Park;1.3520776;103.8606904
Commercial;Commercial Building;Meissa;1.276212;103.796159
Retail;Shopping Mall;Valley Point;1.293071;103.827073
Commercial;Exhibition;Singapore Expo Hall;1.33260083573077;103.958939261538
Industrial;Industrial Building/Estate;TechLink;1.335623;103.905612
Retail;Shopping Mall;Boon Lay Shopping Centre;1.34638362766667;103.712487066667
Commercial;Commercial Building;STT Mediahub;1.292332;103.791295
Travel;Land;Bishan MRT;1.35106418181818;103.848619727273
Retail;Shopping Mall;Tampines 1;1.35432125;103.94502175
Commercial;Commercial Building;Singapore Pools Building;1.301468;103.851042
Healthcare;Hospital;Raffles Hospital;1.301027;103.857241
Residential;Condominium;Eastwood Centre;1.321553;103.955531
Education;Specialized Training School;School of The Art;1.2993569444;103.84869716
Retail;Shopping Mall;321 Clementi;1.311976;103.764958
Education;University;Yong Loo Lin School of Medicine;1.294948;103.781047
Recreational;Hotel;Pan Pacific Serviced Suites Beach Road;1.299265;103.860294
Residential;Condominium;Compass Green;1.358994;103.974641
Education;University;NUS University Hall;1.297164083;103.777472314286
Recreational;Hotel;Holiday Inn Orchard;1.302301;103.841087
Commercial;Commercial Building;Hong Leong Building;1.281398;103.85091
Commercial;Commercial Building;Asia Insurance Building;1.281802;103.851387
Residential;Condominium;One Shenton Way;1.279277;103.850548
Travel;Land;Woodleigh MRT;1.339204;103.8707492
Retail;Shopping Mall;Bishan Junction 8 Shopping Centre;1.350503;103.848735
Residential;Condominium;W Residences;1.245856;103.843287
Recreational;Hotel;Concorde Hotel;1.288879;103.834203
Commercial;Commercial Building;MND;1.278973;103.84581
Government;Government Building;HDB Hub;1.33214878;103.84823614
Industrial;Industrial Building/Estate;Tee Hai Chem;1.37022;103.90891
Industrial;Industrial Building/Estate;ASM Building;1.44415;103.837877
Retail;Shopping Mall;Plaza Singapura;1.30075864527273;103.845046745455
Industrial;Industrial Building/Estate;Pioneer Centre;1.332718;103.697549
Commercial;Exhibition;The Float at Marina Bay;1.2890944;103.8590474
Retail;Shopping Mall;Liang Court;1.2915360652;103.84469868
Recreational;Hotel;Days Hotel;1.3269878;103.8468452
Industrial;Industrial Building/Estate;SembCorp Cogen Pte Ltd;1.254278;103.702869
Retail;Shopping Mall;Funan Digitalife Mall;1.291307;103.850084
Education;Research Centre;DSO National Laboratories;1.28844444444444;103.787496555556
Government;Government Building;Revenue House;1.319494;103.842146
Retail;Shopping Mall;Golden Mile Tower;1.301888;103.86416
Commercial;Commercial Building;Grace Global Raffles;1.282229;103.850521
